aspect,avg_valence,avg_arousal
fossil fuel industries,4.67,6.33
carbon capture and sequestratio,4.83,6.17
clean energy,7.5625,7.479249999999999
Environmental Protection Agency,6.054878048780488,5.5131707317073175
climate change,3.080864197530864,6.703209876543209
infectious diseases,3.0,6.5
Capitalism,7.83,7.67
nuclear energy,6.786612903225806,6.929354838709678
Climate change,3.568,6.45
humanity,6.0,5.17
Solar Park,6.5,7.0
clean energy business,7.0,7.5
carbon emissions,3.0400000000000005,5.54
renewable energy power plants,3.0,5.5
clean energy ,7.835,7.665
Office of Science,7.0,7.17
Germany,5.25,4.23
coal plants and nuclear reactors,5.67,4.17
Great Britain,5.0,3.0
Director General of the Environmental Protection Agency,5.0,3.5
seaweed fertilizers,4.75,2.62
Iran's Nuclear Energy scientists are women,6.1,5.2
coal power,2.5,7.0649999999999995
TRBOT,5.5,3.0
Nuclear power,8.0,7.83
fossil energy,2.96,5.29
Mass.,6.62,6.25
ELM's Director of Clean Energy Policy,6.38,5.75
Raising awareness,6.2,5.3
Trump-era,3.25,5.75
pollution controls,7.0,7.0
House of Representatives,6.38,4.87
less oil,3.0,5.75
US,5.0,2.75
Clean Water Act,6.166666666666667,6.295000000000001
Mountain Valley Pipeline,1.78,7.776666666666666
weedkiller,1.62,8.12
illness,1.38,8.0
campfires,2.5,6.0
carbon management,8.17,8.0
greenhouse gas emissions,2.21,7.71
recycling aluminum,7.0,7.0
primary aluminum,3.0,6.25
clean energy sources,7.25,7.25
doomerism,6.75,6.75
optimism,2.5,7.0
tuna song,7.17,7.0
environmental awareness,7.2996428571428575,7.245
promotional projects,7.33,7.17
President Barack Obama,7.5,7.25
Clean Power Act,7.75,7.75
U.S. Environmental Protection Agency,6.166666666666667,5.771111111111111
California,4.5,3.0
Clean Air Act,7.0,6.25
clean energy economy,7.390000000000001,7.276666666666666
DonaldPayneJr,7.33,7.17
household energy costs,7.5,7.17
POTUS,7.4433333333333325,7.390000000000001
Clean Energy,7.83,7.42
Americas Partnership for Economic Prosperity,6.75,6.5
clean energy jobs,7.25,6.75
POTUS s infrastructure plan,7.75,7.25
electric vehicles,6.686984126984127,6.559047619047619
The Republican,3.25,6.5
SB19Official,7.17,7.17
social awareness,7.67,7.5
"Filipino music, culture and arts",7.67,7.67
ParaMadeleine,6.5,5.88
social solidarity,7.62,7.38
Istanbul Digital Media,7.75,7.5
theSNP,7.17,7.0
green energy,5.02,6.470000000000001
Tory Govt,2.33,7.0
Wind excluding storage cost,5.0,3.67
tax hikes,1.83,7.67
AI,6.165,6.54
electricity,5.78,6.109999999999999
poor financial state of companies,3.0,5.88
Northern Hemisphere,4.75,2.88
Environmental Awareness And Sustainability,7.25,6.75
tecnomobilegh CAMON19 Series ,6.75,6.0
nuclear power,5.83,5.5
gas plants,3.335,5.29
Strawberries,4.25,4.5
Cameron Highlands,5.12,3.5
socialists,3.67,5.33
renewable energy subsidiary,7.5,7.25
pandemic,3.125,5.6899999999999995
ENERGY STAR products,8.25,7.88
greener lifestyle,7.88,7.5
Compost Bin,7.75,7.38
Dutch farmer,6.25,5.25
Fossil fuels,6.5,6.25
global population,6.0,5.0
shark fin trade,3.62,6.25
bill,7.5,7.25
coal plants,2.941818181818182,6.390000000000001
Tesla,6.6,5.942500000000001
 Bitcoin,6.5,5.5
natural gas,5.859999999999999,5.1499999999999995
coal emissions,2.5,6.75
coal energy plants,2.565,7.0600000000000005
Musk s Master Plan,6.83,5.83
Part Deux,6.17,5.17
Environmental Protection Agency ,5.25,3.12
Transportation Department,5.38,3.25
environmental issues,5.4475,6.4125
Electric vehicles,7.366,7.231999999999999
power plants,3.17,6.0
oil and natural gas,2.83,6.5
Climate Change.,3.0,5.12
Naada Jinapor,6.88,6.62
tree seedlings,6.62,6.0
Europe,5.25,3.0
Pioneer Natural Resources Company,5.0,2.38
Bluewater Strategies,5.12,2.62
The Cuyahoga River,5.25,2.75
French nuclear energy ,5.17,2.67
US Department of Energy,5.33,2.67
Taishan plant,4.5,2.67
BTC,6.62,6.25
electric car,5.5600000000000005,6.625
immigrants,2.0,7.25
Republicans,3.5625,6.6225000000000005
mass shootings,1.75,7.38
GOP,1.88,7.62
Nuclear Energy FY2022 Budget Request,6.17,5.0
commercial deployment of advanced reactors,6.5,5.83
DOE's FY22 Budget Request,6.0,4.83
Mr Bowbrick,6.5,5.75
British Gov't,6.88,6.38
UK,6.5,6.0
Spain,6.5,6.0
podcasts,7.0,6.75
sustainable mind,7.0,6.88
Nuclear energy,6.69,6.981
Nuclear power plant,7.5,7.2
sales tax,3.5,4.25
Electric Vehicles,7.017777777777777,6.6755555555555555
Nissan,7.225,6.675
Power plants,6.25,5.75
due to shortage of Coal,1.5,8.0
BJP,3.25,5.75
Arizonans,5.12,2.5
clean energy transitions,6.12,4.5
Lauren Kuby,5.25,3.25
worldwide Public awareness,7.17,6.17
Bulgarian miners,6.25,5.25
Greenpeace,4.0,4.88
HorizonEU project Agroecology-TRANSECT,6.0,4.12
systemic economic,5.38,3.12
North Dakota coal plant,3.0,6.0
Minnesota shareholders,7.0,6.5
Proposed New Rule,2.38,6.62
The Environmental Protection Agency,4.96,6.54
clean energy transition,7.395,7.21
Extreme weather,2.5,6.67
 coal-fired power plant,2.83,6.83
GovPritzker ,4.62,3.12
Prairie State Energy Campus,5.88,4.5
chlorpyrifos,2.5,4.5
federal appeals court,5.83,5.67
Nuclear Energy,7.708333333333333,7.73
nuclear reactor,7.33,7.5
India,6.6875,6.5425
MikeLevin,7.5,7.5
LCVAF,7.5,7.5
Vogrie Outdoor ELC,7.5,7.25
Litter picking,7.5,7.25
SCOTUS,5.0,3.25
liberal guy,4.75,4.0
democrats,3.25,5.75
Clean energy,7.5,7.25
carbon tax,2.75,7.0
carbon-free energy,7.165,7.125
atomic power,7.0,6.83
environmental initiative,8.12,7.62
facility in CityOfFerndale,6.67,6.83
zero-emission public transportation,7.0,7.17
pollution in Franklin,2.67,6.33
child cancer,2.5,6.17
drug to treat Alzheimer s disease,7.67,7.5
nuclear-powered ship,7.0,7.0
state of oceans,7.0,7.0
 PurdueAg professors,6.08,4.83
Scientific Advisory Board,6.08,5.0
British Columbians,6.67,5.67
right-wing trash troll,2.25,6.88
fuel prices,3.75,5.0
statue,7.33,7.0
artist,7.5,7.17
sea level rise,2.0,7.33
coal miner,7.12,6.5
 coal plants,2.44,6.725
air pollution,2.585,6.275
surrounding communities,4.88,3.12
multi-generational home,5.33,4.17
gas car,5.25,3.25
Wind Turbine ,7.12,6.62
energy generator,7.12,6.62
nuclear,7.79,7.29
Ontario,5.0,2.0
Fargo flood project,7.0,6.5
Cuyahoga River OH,2.83,6.67
medical biotech nuclear energy,5.17,2.17
uranium self defense,5.17,2.17
Woodside's reserves of LNG,2.33,6.17
The AGL coal-fired plants,2.67,6.33
global economy,5.67,4.83
transition,3.33,5.83
Albanese government,5.67,5.83
Illinois Environmental Protection Agency,6.25,4.88
impact to air,4.38,4.75
Puerto Rico,6.17,7.0
Alexandria ocasio-cortez,2.17,7.33
democrat socialist,2.0,7.67
China,3.918,6.516
Puerto Rico's Energy,4.75,7.12
Coal-Fired Plant,3.75,7.38
military intervention,7.0,7.0
coal plant,3.034,6.362
Seattle heat wave,2.5,6.83
carbon pollution,1.67,7.67
Africa Environment Day,7.62,7.25
environmental challenges,2.0,7.5
Modi Government,7.12,6.88
